scorer,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145,DLC_Resnet101_HindLimbClaspingSep14shuffle1_snapshot_best-145
8,952.7988,818.85254,1.0,993.34375,748.9863,0.33544922,990.28125,643.1406,0.3166504,997.3408,585.959,0.36938477,997.64453,501.8506,0.5463867,1008.91406,449.23828,0.8305664,995.76587,294.15234,0.42016602,920.49023,596.3203,0.113220215,890.0664,599.0078,0.04421997,970.9375,768.5547,0.3840332,1002.71484,765.8047,0.70751953,842.3916,635.36914,0.81396484,882.98145,595.10547,0.7265625,1090.1016,668.56055,0.16723633,1042.2422,614.3906,0.4765625
9,952.7988,750.5215,0.8901367,1041.1855,695.02734,0.37158203,1011.5471,643.63086,0.28735352,1022.6133,594.5742,0.5703125,1015.9883,502.48242,0.92626953,1018.5039,453.18848,0.8120117,1005.9619,294.49805,0.49780273,929.1172,616.1367,0.5102539,928.64453,617.1211,0.28515625,977.5293,751.6992,0.4584961,1043.3999,765.8047,0.4963379,857.20703,635.36914,0.90625,902.62695,595.10547,0.6040039,1124.2705,668.56055,0.96191406,1085.4746,614.3906,0.56103516
10,958.70703,734.0547,0.4819336,1048.2676,695.02734,0.16113281,1043.4805,643.63086,0.2866211,1034.7559,594.5742,0.41503906,1018.04004,506.19922,0.8725586,1018.5039,455.22852,0.85546875,1007.5762,307.2085,0.46899414,945.53516,631.60547,0.4819336,945.6992,633.68555,0.15625,987.52,751.6992,0.5332031,1043.3999,759.02344,0.29370117,868.86816,635.36914,0.7729492,910.2422,599.1426,0.55371094,1156.0857,660.8916,0.80078125,1127.9453,616.0508,0.7421875
11,1060.0,734.0547,0.15759277,1058.3086,693.23047,0.1751709,1043.4805,643.63086,0.53125,1034.7559,594.5742,0.39257812,1018.04004,506.7539,0.93115234,1018.5039,457.2207,0.76708984,1007.5762,306.417,0.47509766,945.53516,635.61084,0.5004883,953.70703,637.86816,0.30029297,987.52,751.6992,0.625,1068.522,749.39746,0.26953125,873.0762,642.73047,0.78466797,913.02344,600.71875,0.5878906,1173.0469,656.9453,0.84277344,1137.9551,612.6719,0.57177734
12,1066.4961,734.0547,0.14648438,1063.707,693.23047,0.23168945,1043.4805,643.2383,0.5258789,1034.7559,593.75586,0.40771484,1015.9883,506.7539,0.85009766,1014.94727,458.70703,0.79296875,1005.9619,307.2085,0.5073242,953.541,631.60547,0.46191406,953.70703,646.16406,0.35717773,1037.3037,758.4512,0.6513672,1071.6094,732.7656,0.52783203,889.2168,661.75195,0.83203125,919.5469,612.5088,0.609375,1176.6055,652.2925,0.7192383,1137.9551,608.30664,0.6586914
13,1098.5645,734.0547,0.14257812,1058.3086,697.6719,0.37280273,1042.7695,643.63086,0.47729492,1032.6113,592.9414,0.5551758,1013.3096,506.7539,0.83203125,1009.9121,458.70703,0.8886719,1003.92444,309.0381,0.48364258,963.31104,656.6504,0.088012695,962.5156,656.7617,0.17785645,1047.0547,758.4512,0.51464844,1068.522,732.7656,0.4387207,890.3291,683.2129,0.7158203,919.5469,631.0801,0.5756836,1176.6055,631.78906,0.46240234,1137.9551,602.78125,0.6567383
14,1110.1758,732.6675,0.83691406,1058.3086,697.6719,0.15002441,1035.2993,646.6465,0.6538086,1030.9531,592.9414,0.53271484,1005.6738,506.7539,0.76660156,997.0293,461.46387,0.8745117,999.3008,310.20312,0.49243164,1098.5205,693.6719,0.03491211,967.1133,668.22815,0.04837036,1064.9102,758.4512,0.31079102,1057.0547,759.02344,0.36938477,890.3291,708.1826,0.8691406,919.5469,658.67285,0.56640625,1176.6055,608.90234,0.5908203,1137.4453,589.8701,0.6171875
15,1105.2734,727.79297,0.7602539,1042.375,697.6719,0.14221191,1012.95703,648.49414,0.55029297,1010.3086,590.38477,0.5834961,989.47266,506.625,0.8330078,978.07715,461.46387,0.88964844,986.99414,310.20312,0.5209961,1098.5205,706.65625,0.049804688,967.1133,668.22815,0.21313477,1064.9102,760.70703,0.42797852,1057.0547,777.0879,0.41186523,890.3291,708.1826,0.68408203,903.75,658.67285,0.5576172,1161.2207,599.14844,0.4880371,1118.5391,579.4375,0.4699707
16,1105.2734,727.79297,0.74121094,1025.2031,703.4375,0.26611328,997.25,650.2178,0.38842773,993.6328,585.15234,0.53466797,981.02344,503.77148,0.8496094,973.6914,461.46387,0.83447266,986.166,310.20312,0.5673828,1098.5205,693.6719,0.03552246,925.89453,646.16406,0.09283447,1064.9102,780.7124,0.56152344,1035.5259,777.0879,0.38964844,874.333,708.1826,0.74316406,886.28516,658.67285,0.6386719,1153.6992,599.14844,0.6635742,1105.666,579.4375,0.69921875
17,1105.2734,727.79297,0.62109375,1018.10547,703.4375,0.18273926,979.6997,650.2178,0.44799805,980.1426,585.15234,0.45239258,974.85547,491.84802,0.8383789,973.6914,449.57812,0.86621094,982.2637,293.63477,0.3996582,857.1367,693.6719,0.21533203,869.6572,628.0,0.12207031,1008.7031,791.92773,0.37353516,1034.6836,777.0879,0.41479492,839.92773,699.4253,0.6875,857.6113,637.2461,0.29711914,1149.25,608.90234,0.6772461,1100.6953,580.45483,0.66064453
